airline,origin,destination,distance_km,month,day_of_week,dep_hour,weather_score,is_holiday_season,delayed,delay_minutes,passengers_booked,seat_capacity,demand_ratio,price_aed
Turkish Airlines,DXB,JFK,11000,12,Sun,18,4.74,True,0,0,350,350,1.0,4554.0
Etihad,DXB,BOM,1900,9,Sun,12,4.41,False,0,0,254,350,0.726,2295.46
Qatar Airways,DXB,SYD,12000,7,Sun,7,6.76,True,0,0,302,350,0.864,4361.43
Qatar Airways,DXB,JNB,6400,9,Wed,18,6.31,False,0,0,224,350,0.64,2848.79
Etihad,DXB,BKK,4900,9,Wed,0,6.55,False,0,0,258,350,0.74,2818.48
Emirates,DXB,JNB,6400,10,Tue,11,4.79,False,0,0,271,350,0.777,3150.67
Emirates,DXB,BKK,4900,5,Wed,14,7.51,False,0,0,230,350,0.658,2652.05
Qatar Airways,DXB,LHR,5500,4,Wed,21,5.7,False,0,0,275,350,0.786,3016.18
Etihad,DXB,BOM,1900,7,Fri,15,4.91,True,1,23,321,350,0.918,2614.84
British Airways,DXB,FRA,4800,1,Mon,4,6.21,True,0,0,350,350,1.0,3326.4
British Airways,DXB,JNB,6400,6,Wed,5,5.32,True,0,0,305,350,0.873,3363.17
British Airways,DXB,SIN,5900,6,Fri,5,4.54,True,0,0,350,350,1.0,3544.2
Singapore Airlines,DXB,SIN,5900,1,Mon,18,5.15,True,1,93,318,350,0.91,3350.48
Emirates,DXB,LHR,5500,4,Mon,0,8.71,False,0,0,173,350,0.496,2406.29
Etihad,DXB,SYD,12000,7,Sun,13,7.16,True,0,0,246,350,0.706,3904.15
British Airways,DXB,FRA,4800,11,Sat,1,7.08,False,0,0,241,350,0.689,2698.67
Emirates,DXB,NRT,7900,6,Sat,12,5.01,True,0,0,331,350,0.946,3810.65
Etihad,DXB,CDG,5200,2,Tue,13,2.95,False,0,0,220,350,0.629,2639.02
Emirates,DXB,JNB,6400,12,Sat,11,5.22,True,0,0,318,350,0.909,3443.26
Turkish Airlines,DXB,BOM,1900,2,Mon,19,2.02,False,0,0,241,350,0.69,2234.93
Singapore Airlines,DXB,FRA,4800,6,Thu,18,7.6,True,0,0,346,350,0.99,3305.45
Emirates,DXB,CDG,5200,12,Sat,19,4.42,True,0,0,332,350,0.949,3300.22
Emirates,DXB,BOM,1900,1,Fri,17,3.01,True,1,107,307,350,0.878,2548.19
British Airways,DXB,FRA,4800,3,Wed,8,5.25,False,0,0,160,350,0.458,2233.58
Turkish Airlines,DXB,BKK,4900,4,Tue,2,4.95,False,0,0,188,350,0.539,2410.5
Turkish Airlines,DXB,FRA,4800,10,Mon,21,4.81,False,0,0,232,350,0.665,2651.27
Qatar Airways,DXB,SIN,5900,5,Tue,19,4.9,False,0,0,250,350,0.716,2934.59
Singapore Airlines,DXB,LHR,5500,2,Fri,0,6.01,False,0,0,253,350,0.725,2888.5
Emirates,DXB,BOM,1900,12,Wed,17,4.94,True,0,0,305,350,0.872,2539.33
Emirates,DXB,BOM,1900,7,Thu,4,3.18,True,0,0,313,350,0.896,2577.9
Emirates,DXB,NRT,7900,10,Tue,9,7.14,False,0,0,301,350,0.861,3607.88
Etihad,DXB,FRA,4800,10,Sat,8,5.44,False,0,0,156,350,0.447,2210.99
British Airways,DXB,LHR,5500,4,Sun,10,6.4,False,0,0,322,350,0.92,3297.32
Qatar Airways,DXB,JNB,6400,7,Sat,8,4.35,True,0,0,350,350,1.0,3643.2
Etihad,DXB,LHR,5500,2,Thu,21,5.97,False,0,0,203,350,0.582,2586.24
Emirates,DXB,FRA,4800,12,Sat,3,4.65,True,0,0,270,350,0.773,2867.99
Turkish Airlines,DXB,SIN,5900,3,Sun,13,10.0,False,0,0,275,350,0.788,3087.77
Qatar Airways,DXB,BOM,1900,6,Tue,17,4.62,True,0,0,313,350,0.897,2579.83
Turkish Airlines,DXB,BKK,4900,2,Sat,0,6.04,False,0,0,236,350,0.675,2687.38
British Airways,DXB,LHR,5500,1,Thu,6,6.48,True,0,0,281,350,0.804,3053.95
Qatar Airways,DXB,BOM,1900,9,Wed,12,4.89,False,0,0,292,350,0.835,2476.16
Emirates,DXB,BKK,4900,1,Tue,7,5.34,True,0,0,271,350,0.776,2892.39
Singapore Airlines,DXB,BOM,1900,5,Mon,21,3.59,False,0,0,276,350,0.79,2402.16
Emirates,DXB,LHR,5500,10,Fri,13,6.08,False,0,0,255,350,0.73,2897.53
Turkish Airlines,DXB,BOM,1900,8,Fri,16,5.8,False,0,0,306,350,0.875,2543.84
Etihad,DXB,NRT,7900,2,Wed,15,4.11,False,0,0,301,350,0.863,3611.9
Emirates,DXB,CDG,5200,4,Fri,11,8.28,False,0,0,255,350,0.731,2849.54
British Airways,DXB,NRT,7900,10,Sat,8,8.72,False,0,0,229,350,0.655,3116.75
Singapore Airlines,DXB,LHR,5500,5,Tue,0,3.24,False,0,0,261,350,0.747,2934.33
British Airways,DXB,CDG,5200,10,Fri,5,7.99,False,0,0,257,350,0.735,2857.74
British Airways,DXB,SYD,12000,12,Sat,2,7.57,True,0,0,350,350,1.0,4752.0
Emirates,DXB,CDG,5200,5,Sat,22,6.41,False,0,0,263,350,0.752,2894.55
Emirates,DXB,BKK,4900,10,Tue,3,7.59,False,0,0,196,350,0.562,2457.75
Emirates,DXB,BOM,1900,6,Fri,18,4.35,True,0,0,312,350,0.893,2573.05
Emirates,DXB,BOM,1900,7,Sat,5,4.47,True,1,43,350,350,1.0,2752.2
Singapore Airlines,DXB,SYD,12000,5,Sat,21,5.4,False,1,140,301,350,0.86,4349.44
Emirates,DXB,JFK,11000,9,Sat,4,4.82,False,0,0,215,350,0.617,3496.29
Emirates,DXB,CDG,5200,4,Sun,18,7.82,False,0,0,260,350,0.746,2880.36
Emirates,DXB,LHR,5500,10,Thu,17,3.62,False,0,0,245,350,0.702,2838.61
Qatar Airways,DXB,LHR,5500,7,Thu,1,4.6,True,0,0,320,350,0.917,3290.33
Qatar Airways,DXB,CDG,5200,4,Fri,18,9.62,False,0,0,171,350,0.489,2351.02
Emirates,DXB,SYD,12000,12,Wed,18,3.13,True,1,28,326,350,0.931,4554.63
Emirates,DXB,JFK,11000,3,Sat,23,5.4,False,0,0,270,350,0.771,3923.2
Emirates,DXB,SYD,12000,7,Mon,18,8.88,True,1,63,315,350,0.9,4464.82
Qatar Airways,DXB,SIN,5900,9,Thu,22,6.72,False,0,0,215,350,0.616,2718.58
Emirates,DXB,JNB,6400,9,Sun,17,6.0,False,0,0,350,350,1.0,3643.2
Emirates,DXB,JFK,11000,2,Sun,11,1.14,False,0,0,231,350,0.661,3619.46
Turkish Airlines,DXB,LHR,5500,6,Wed,18,6.04,True,0,0,227,350,0.649,2728.63
Turkish Airlines,DXB,JFK,11000,5,Sat,15,7.27,False,0,0,303,350,0.868,4188.52
Emirates,DXB,LHR,5500,2,Wed,10,5.76,False,0,0,201,350,0.576,2574.75
Emirates,DXB,SYD,12000,12,Mon,4,5.76,True,1,32,350,350,1.0,4752.0
Qatar Airways,DXB,BKK,4900,2,Sun,10,5.37,False,0,0,208,350,0.595,2524.81
Emirates,DXB,FRA,4800,1,Sat,10,6.17,True,0,0,276,350,0.789,2901.22
Etihad,DXB,BKK,4900,4,Thu,13,9.67,False,0,0,254,350,0.727,2792.18
Singapore Airlines,DXB,NRT,7900,8,Thu,4,3.62,False,0,0,250,350,0.714,3258.18
Singapore Airlines,DXB,JNB,6400,3,Sun,4,7.64,False,0,0,188,350,0.537,2621.86
Emirates,DXB,NRT,7900,3,Sun,10,7.22,False,1,65,275,350,0.787,3430.37
Etihad,DXB,BKK,4900,10,Fri,21,7.77,False,0,0,263,350,0.754,2847.74
Turkish Airlines,DXB,JFK,11000,7,Sun,3,4.95,True,0,0,350,350,1.0,4554.0
Qatar Airways,DXB,LHR,5500,9,Mon,5,4.85,False,0,0,306,350,0.875,3202.54
Emirates,DXB,NRT,7900,12,Thu,21,4.62,True,0,0,278,350,0.796,3453.71
Qatar Airways,DXB,CDG,5200,11,Tue,19,6.16,False,1,42,212,350,0.607,2594.85
Emirates,DXB,SIN,5900,1,Sat,14,5.75,True,0,0,299,350,0.855,3233.32
Qatar Airways,DXB,SIN,5900,2,Sun,9,1.74,False,0,0,195,350,0.56,2598.84
Etihad,DXB,LHR,5500,7,Mon,5,3.22,True,0,0,324,350,0.927,3312.3
Emirates,DXB,JFK,11000,11,Mon,20,6.65,False,0,0,258,350,0.737,3828.89
Emirates,DXB,BKK,4900,2,Thu,18,4.03,False,1,265,210,350,0.602,2539.49
Emirates,DXB,JNB,6400,9,Fri,22,3.11,False,1,20,148,350,0.425,2373.97
Singapore Airlines,DXB,LHR,5500,7,Mon,11,4.85,True,0,0,286,350,0.817,3081.35
Emirates,DXB,BKK,4900,8,Fri,18,5.5,False,0,0,275,350,0.786,2913.01
British Airways,DXB,SYD,12000,11,Wed,9,7.07,False,0,0,267,350,0.764,4073.33
Singapore Airlines,DXB,SYD,12000,5,Thu,11,7.44,False,0,0,235,350,0.672,3807.88
British Airways,DXB,SYD,12000,5,Thu,18,4.48,False,0,0,275,350,0.787,4138.75
Singapore Airlines,DXB,CDG,5200,2,Wed,2,3.57,False,0,0,138,350,0.395,2157.6
British Airways,DXB,NRT,7900,7,Tue,5,4.45,True,0,0,350,350,1.0,3940.2
Singapore Airlines,DXB,FRA,4800,9,Fri,15,2.61,False,0,0,310,350,0.888,3101.27
Singapore Airlines,DXB,SIN,5900,11,Sun,17,8.88,False,0,0,305,350,0.873,3270.39
Emirates,DXB,SYD,12000,10,Sat,21,4.85,False,0,0,273,350,0.78,4119.45
Qatar Airways,DXB,NRT,7900,1,Sun,22,6.11,True,0,0,244,350,0.699,3221.05
Etihad,DXB,CDG,5200,9,Sun,13,5.73,False,0,0,266,350,0.762,2914.57
Qatar Airways,DXB,JNB,6400,8,Wed,14,6.24,False,0,0,230,350,0.658,2889.01
British Airways,DXB,BKK,4900,5,Mon,5,7.41,False,0,0,246,350,0.705,2748.88
Emirates,DXB,JFK,11000,4,Thu,12,7.83,False,1,15,255,350,0.731,3812.45
Etihad,DXB,JNB,6400,9,Fri,15,4.23,False,0,0,290,350,0.83,3268.25
Emirates,DXB,JFK,11000,8,Sat,2,4.77,False,0,0,227,350,0.65,3589.16
Turkish Airlines,DXB,JNB,6400,7,Sat,12,3.1,True,0,0,350,350,1.0,3643.2
British Airways,DXB,SYD,12000,3,Sun,4,8.59,False,0,0,258,350,0.74,4002.69
Emirates,DXB,SYD,12000,5,Mon,18,3.29,False,0,0,257,350,0.735,3987.37
Turkish Airlines,DXB,CDG,5200,6,Mon,10,5.83,True,1,32,310,350,0.886,3170.97
Turkish Airlines,DXB,LHR,5500,9,Wed,7,3.58,False,0,0,187,350,0.537,2492.59
Qatar Airways,DXB,FRA,4800,4,Sun,11,5.41,False,1,28,281,350,0.805,2932.88
Emirates,DXB,NRT,7900,12,Sun,15,5.83,True,0,0,309,350,0.884,3662.95
Emirates,DXB,SYD,12000,7,Sat,17,3.68,True,1,15,291,350,0.832,4266.89
Singapore Airlines,DXB,NRT,7900,10,Sun,19,5.89,False,0,0,173,350,0.496,2736.53
Qatar Airways,DXB,SIN,5900,2,Fri,10,4.34,False,0,0,282,350,0.806,3128.07
Singapore Airlines,DXB,FRA,4800,9,Sat,0,3.78,False,0,0,241,350,0.691,2703.87
British Airways,DXB,SYD,12000,4,Mon,9,9.11,False,0,0,222,350,0.635,3701.29
Emirates,DXB,JNB,6400,10,Wed,7,7.76,False,0,0,258,350,0.738,3065.58
Emirates,DXB,LHR,5500,8,Tue,16,2.81,False,0,0,245,350,0.702,2838.73
Turkish Airlines,DXB,JFK,11000,3,Sun,2,6.18,False,0,0,286,350,0.82,4055.91
Turkish Airlines,DXB,LHR,5500,1,Thu,17,3.18,True,0,0,292,350,0.834,3117.04
British Airways,DXB,NRT,7900,10,Thu,21,8.32,False,0,0,254,350,0.727,3287.79
Emirates,DXB,BOM,1900,5,Fri,21,3.76,False,1,38,280,350,0.801,2419.74
British Airways,DXB,FRA,4800,11,Sun,6,7.8,False,0,0,318,350,0.909,3143.26
Etihad,DXB,CDG,5200,3,Sun,2,6.16,False,1,34,322,350,0.923,3245.73
Turkish Airlines,DXB,JFK,11000,6,Tue,9,3.38,True,0,0,289,350,0.827,4075.68
Emirates,DXB,SYD,12000,12,Thu,17,4.5,True,1,56,241,350,0.689,3855.78
British Airways,DXB,SIN,5900,1,Fri,3,3.03,True,1,34,350,350,1.0,3544.2
Qatar Airways,DXB,NRT,7900,6,Sun,19,5.57,True,0,0,300,350,0.857,3599.28
Etihad,DXB,JNB,6400,9,Sun,23,6.8,False,0,0,244,350,0.698,2975.59
Singapore Airlines,DXB,NRT,7900,5,Sun,8,1.22,False,0,0,261,350,0.748,3338.08
Etihad,DXB,JNB,6400,9,Mon,16,5.39,False,0,0,202,350,0.58,2714.82
Qatar Airways,DXB,SIN,5900,3,Sun,20,8.91,False,0,0,260,350,0.744,2994.0
Emirates,DXB,BKK,4900,11,Thu,4,4.08,False,0,0,202,350,0.58,2494.05
Emirates,DXB,LHR,5500,9,Mon,21,4.73,False,0,0,267,350,0.765,2971.82
Turkish Airlines,DXB,CDG,5200,3,Fri,1,7.17,False,0,0,272,350,0.778,2947.73
British Airways,DXB,FRA,4800,9,Wed,14,4.67,False,0,0,237,350,0.679,2679.61
Emirates,DXB,SIN,5900,4,Sat,3,5.1,False,0,0,228,350,0.653,2799.42
Qatar Airways,DXB,LHR,5500,4,Sun,8,7.47,False,0,0,248,350,0.711,2857.37
Emirates,DXB,NRT,7900,6,Wed,19,7.63,True,0,0,273,350,0.781,3416.54
Qatar Airways,DXB,FRA,4800,12,Sat,12,5.55,True,0,0,350,350,1.0,3326.4
Qatar Airways,DXB,JNB,6400,4,Wed,1,5.4,False,0,0,156,350,0.448,2424.28
Etihad,DXB,SIN,5900,7,Mon,17,4.43,True,0,0,310,350,0.888,3302.76
Turkish Airlines,DXB,SYD,12000,1,Tue,13,7.8,True,1,32,281,350,0.803,4184.42
Qatar Airways,DXB,CDG,5200,6,Tue,13,4.97,True,0,0,325,350,0.929,3258.28
Qatar Airways,DXB,FRA,4800,2,Tue,5,3.15,False,0,0,158,350,0.451,2220.52
Etihad,DXB,FRA,4800,4,Fri,22,6.78,False,0,0,283,350,0.809,2941.11
Qatar Airways,DXB,JFK,11000,2,Mon,17,4.34,False,1,51,239,350,0.685,3684.25
British Airways,DXB,NRT,7900,4,Sat,7,6.06,False,0,0,305,350,0.872,3633.41
Etihad,DXB,JFK,11000,7,Thu,23,6.25,True,0,0,319,350,0.913,4312.84
Singapore Airlines,DXB,LHR,5500,4,Tue,15,7.29,False,0,0,272,350,0.779,3000.69
Singapore Airlines,DXB,BKK,4900,7,Mon,14,3.99,True,0,0,249,350,0.712,2762.67
Emirates,DXB,SIN,5900,9,Mon,18,6.55,False,0,0,155,350,0.443,2348.51
Singapore Airlines,DXB,NRT,7900,7,Mon,23,4.45,True,1,21,293,350,0.837,3551.68
Turkish Airlines,DXB,BKK,4900,6,Sat,2,4.56,True,1,71,306,350,0.874,3091.6
Qatar Airways,DXB,BKK,4900,4,Wed,23,7.84,False,0,0,228,350,0.654,2644.75
Etihad,DXB,SIN,5900,4,Thu,10,5.35,False,0,0,229,350,0.655,2803.89
British Airways,DXB,JNB,6400,9,Wed,1,5.94,False,0,0,241,350,0.689,2957.04
Turkish Airlines,DXB,SYD,12000,5,Wed,5,5.35,False,0,0,237,350,0.68,3829.95
Etihad,DXB,CDG,5200,8,Sun,21,5.24,False,0,0,208,350,0.596,2572.13
Emirates,DXB,NRT,7900,7,Sat,12,2.38,True,0,0,311,350,0.891,3679.53
Etihad,DXB,JFK,11000,8,Tue,15,5.93,False,0,0,242,350,0.692,3702.77
Etihad,DXB,BOM,1900,6,Thu,12,5.03,True,1,112,350,350,1.0,2752.2
Emirates,DXB,FRA,4800,7,Tue,3,3.24,True,0,0,338,350,0.968,3261.14
Etihad,DXB,JFK,11000,4,Fri,17,9.01,False,0,0,247,350,0.707,3746.59
Qatar Airways,DXB,NRT,7900,9,Sat,12,4.9,False,0,0,248,350,0.711,3249.12
Turkish Airlines,DXB,SYD,12000,1,Fri,8,2.82,True,0,0,250,350,0.716,3933.41
Emirates,DXB,SYD,12000,2,Mon,1,4.75,False,0,0,236,350,0.676,3818.86
Emirates,DXB,BOM,1900,6,Tue,11,3.66,True,0,0,347,350,0.994,2741.68
Emirates,DXB,SIN,5900,12,Tue,19,3.74,True,0,0,246,350,0.704,2909.43
Turkish Airlines,DXB,SIN,5900,12,Wed,16,5.06,True,0,0,310,350,0.887,3302.46
Emirates,DXB,BKK,4900,2,Sun,0,6.59,False,0,0,267,350,0.765,2870.23
British Airways,DXB,BOM,1900,1,Mon,22,5.09,True,0,0,250,350,0.716,2278.51
Emirates,DXB,NRT,7900,12,Wed,19,7.64,True,0,0,350,350,1.0,3940.2
Emirates,DXB,NRT,7900,1,Sat,10,3.6,True,0,0,350,350,1.0,3940.2
Etihad,DXB,SIN,5900,3,Thu,12,9.24,False,0,0,281,350,0.803,3121.93
Emirates,DXB,SYD,12000,1,Mon,5,5.13,True,1,75,255,350,0.729,3971.71
Emirates,DXB,FRA,4800,9,Mon,15,5.64,False,1,47,243,350,0.697,2715.59
British Airways,DXB,CDG,5200,11,Fri,10,6.36,False,0,0,190,350,0.543,2462.24
Emirates,DXB,LHR,5500,11,Fri,15,6.58,False,0,0,237,350,0.679,2791.49
Turkish Airlines,DXB,NRT,7900,5,Thu,15,4.44,False,0,0,181,350,0.519,2792.33
Emirates,DXB,LHR,5500,4,Thu,11,8.25,False,0,0,243,350,0.695,2823.96
Qatar Airways,DXB,BOM,1900,1,Mon,3,6.62,True,0,0,293,350,0.84,2484.74
Etihad,DXB,NRT,7900,4,Mon,16,5.47,False,0,0,187,350,0.534,2828.32
Singapore Airlines,DXB,CDG,5200,3,Wed,23,6.33,False,0,0,210,350,0.601,2582.61
Qatar Airways,DXB,JNB,6400,9,Fri,19,3.71,False,0,0,261,350,0.748,3086.35
Qatar Airways,DXB,FRA,4800,7,Fri,12,3.54,True,1,23,272,350,0.778,2877.99
Emirates,DXB,NRT,7900,2,Sat,9,5.89,False,0,0,271,350,0.776,3405.24
Singapore Airlines,DXB,BOM,1900,8,Tue,16,5.5,False,1,17,258,350,0.74,2318.47
Turkish Airlines,DXB,SYD,12000,6,Sat,7,5.91,True,1,78,311,350,0.89,4435.71
Qatar Airways,DXB,JNB,6400,8,Sat,10,5.99,False,1,15,286,350,0.82,3245.11
Singapore Airlines,DXB,LHR,5500,8,Wed,3,6.05,False,0,0,264,350,0.756,2951.89
British Airways,DXB,SYD,12000,1,Fri,7,3.98,True,0,0,307,350,0.879,4404.09
British Airways,DXB,BKK,4900,4,Sun,13,6.12,False,0,0,269,350,0.77,2879.2
Emirates,DXB,CDG,5200,10,Tue,20,5.88,False,0,0,143,350,0.41,2187.85
Singapore Airlines,DXB,SIN,5900,12,Fri,2,9.1,True,1,67,288,350,0.825,3168.85
British Airways,DXB,SIN,5900,12,Tue,6,3.67,True,0,0,329,350,0.94,3415.32
Etihad,DXB,SIN,5900,11,Thu,4,7.51,False,0,0,242,350,0.693,2884.66
Emirates,DXB,BKK,4900,10,Sun,16,8.28,False,0,0,237,350,0.679,2695.49
Qatar Airways,DXB,BOM,1900,1,Sun,12,3.2,True,1,39,307,350,0.879,2550.06
Emirates,DXB,NRT,7900,6,Thu,0,6.32,True,0,0,262,350,0.75,3343.15
Emirates,DXB,JNB,6400,5,Sat,17,4.32,False,0,0,294,350,0.84,3289.99
British Airways,DXB,JFK,11000,12,Wed,4,4.3,True,0,0,333,350,0.952,4420.72
Qatar Airways,DXB,JNB,6400,12,Sun,11,4.6,True,0,0,306,350,0.877,3371.35
Emirates,DXB,JFK,11000,9,Thu,18,5.17,False,0,0,222,350,0.637,3552.06
Turkish Airlines,DXB,SIN,5900,9,Thu,22,5.01,False,0,0,221,350,0.632,2754.52
Etihad,DXB,FRA,4800,6,Wed,4,4.56,True,0,0,295,350,0.844,3010.93
British Airways,DXB,JFK,11000,6,Sun,7,3.86,True,0,0,329,350,0.94,4389.69
Singapore Airlines,DXB,SYD,12000,5,Mon,14,7.19,False,0,0,232,350,0.666,3788.66
Turkish Airlines,DXB,NRT,7900,2,Mon,0,4.02,False,0,0,235,350,0.673,3159.03
Emirates,DXB,CDG,5200,8,Sun,17,6.53,False,0,0,280,350,0.8,2993.47
Qatar Airways,DXB,JFK,11000,11,Sat,2,8.43,False,0,0,226,350,0.647,3579.96
Emirates,DXB,FRA,4800,2,Fri,6,4.76,False,0,0,305,350,0.873,3071.22
Emirates,DXB,BKK,4900,1,Wed,9,4.25,True,0,0,265,350,0.758,2856.33
British Airways,DXB,NRT,7900,4,Mon,13,9.07,False,0,0,229,350,0.655,3116.94
Emirates,DXB,CDG,5200,6,Tue,21,5.55,True,0,0,350,350,1.0,3405.6
Turkish Airlines,DXB,JFK,11000,11,Thu,2,6.39,False,0,0,144,350,0.413,2933.18
Emirates,DXB,SYD,12000,9,Wed,22,4.69,False,0,0,237,350,0.68,3829.72
Emirates,DXB,JNB,6400,6,Tue,16,4.23,True,0,0,303,350,0.867,3350.2
Emirates,DXB,SYD,12000,1,Fri,20,6.43,True,0,0,350,350,1.0,4752.0
Emirates,DXB,SIN,5900,10,Sun,2,5.22,False,0,0,274,350,0.783,3078.11
Singapore Airlines,DXB,BKK,4900,10,Sun,20,6.74,False,0,0,214,350,0.614,2563.71
Emirates,DXB,LHR,5500,3,Fri,9,6.97,False,0,0,254,350,0.728,2893.65
Emirates,DXB,FRA,4800,6,Mon,17,4.92,True,1,85,263,350,0.753,2828.27
Singapore Airlines,DXB,CDG,5200,11,Sat,20,7.54,False,0,0,258,350,0.739,2866.22
Turkish Airlines,DXB,SIN,5900,3,Fri,23,10.0,False,0,0,224,350,0.642,2775.1
Emirates,DXB,JNB,6400,1,Wed,5,6.83,True,0,0,267,350,0.765,3124.45
Emirates,DXB,SYD,12000,9,Fri,9,5.14,False,0,0,265,350,0.76,4060.43
Etihad,DXB,SIN,5900,9,Tue,16,6.09,False,0,0,263,350,0.752,3012.17
Etihad,DXB,FRA,4800,7,Sun,6,4.12,True,0,0,350,350,1.0,3326.4
Qatar Airways,DXB,JFK,11000,6,Tue,9,7.2,True,0,0,238,350,0.681,3673.27
Emirates,DXB,BKK,4900,6,Fri,19,1.91,True,0,0,350,350,1.0,3346.2
Singapore Airlines,DXB,JNB,6400,9,Tue,12,2.16,False,0,0,172,350,0.491,2520.28
Singapore Airlines,DXB,BKK,4900,5,Sat,21,1.7,False,0,0,308,350,0.882,3107.39
British Airways,DXB,FRA,4800,1,Sun,19,4.1,True,0,0,293,350,0.838,3000.33
Turkish Airlines,DXB,BKK,4900,8,Fri,4,6.52,False,0,0,206,350,0.589,2513.46
Singapore Airlines,DXB,SIN,5900,12,Fri,7,6.1,True,0,0,350,350,1.0,3544.2
Qatar Airways,DXB,SYD,12000,3,Mon,9,6.32,False,0,0,105,350,0.302,2740.75
Emirates,DXB,BOM,1900,6,Sat,14,7.25,True,0,0,322,350,0.921,2619.93
Emirates,DXB,LHR,5500,8,Mon,8,5.4,False,0,0,230,350,0.658,2746.05
Emirates,DXB,BKK,4900,6,Fri,16,3.76,True,1,47,341,350,0.977,3299.6
Emirates,DXB,FRA,4800,1,Wed,7,5.98,True,0,0,347,350,0.993,3313.28
Etihad,DXB,LHR,5500,6,Sat,21,7.02,True,0,0,350,350,1.0,3465.0
Turkish Airlines,DXB,SIN,5900,10,Wed,22,6.45,False,0,0,296,350,0.847,3215.78
Emirates,DXB,JFK,11000,1,Sat,21,5.5,True,1,16,311,350,0.891,4253.16
Emirates,DXB,LHR,5500,7,Mon,10,5.24,True,0,0,317,350,0.908,3272.24
British Airways,DXB,BKK,4900,6,Thu,6,5.69,True,0,0,241,350,0.689,2715.42
Emirates,DXB,SYD,12000,1,Wed,9,5.25,True,0,0,296,350,0.846,4309.62
Emirates,DXB,NRT,7900,1,Wed,17,5.86,True,0,0,293,350,0.84,3556.99
Emirates,DXB,CDG,5200,12,Tue,19,3.79,True,1,15,221,350,0.634,2649.61
Singapore Airlines,DXB,FRA,4800,6,Sat,4,4.56,True,0,0,324,350,0.927,3179.7
Etihad,DXB,FRA,4800,2,Mon,7,3.02,False,1,83,243,350,0.696,2714.13
Emirates,DXB,JFK,11000,5,Fri,22,6.36,False,0,0,277,350,0.792,3979.95
British Airways,DXB,SYD,12000,9,Fri,22,6.9,False,0,0,203,350,0.581,3544.08
Singapore Airlines,DXB,SIN,5900,9,Thu,8,5.39,False,1,45,164,350,0.469,2403.35
Etihad,DXB,CDG,5200,10,Mon,7,6.48,False,0,0,287,350,0.821,3037.05
Emirates,DXB,BOM,1900,8,Thu,14,5.49,False,0,0,211,350,0.605,2093.83
Singapore Airlines,DXB,SIN,5900,5,Fri,2,2.87,False,1,77,219,350,0.627,2743.23
Emirates,DXB,SYD,12000,6,Mon,20,4.56,True,0,0,324,350,0.926,4539.21
Qatar Airways,DXB,CDG,5200,2,Mon,0,5.13,False,0,0,230,350,0.659,2701.12
Qatar Airways,DXB,SYD,12000,11,Mon,9,7.2,False,0,0,233,350,0.668,3795.64
Qatar Airways,DXB,LHR,5500,5,Sun,13,6.14,False,0,0,220,350,0.629,2686.84
Etihad,DXB,JFK,11000,2,Thu,14,4.6,False,1,21,242,350,0.693,3706.12
Emirates,DXB,JFK,11000,1,Mon,17,5.25,True,0,0,295,350,0.844,4124.34
Emirates,DXB,CDG,5200,1,Tue,4,6.31,True,1,62,350,350,1.0,3405.6
Emirates,DXB,SIN,5900,4,Fri,9,4.93,False,1,31,193,350,0.554,2586.49
Emirates,DXB,NRT,7900,4,Sun,12,6.33,False,0,0,242,350,0.692,3205.07
Qatar Airways,DXB,SIN,5900,7,Tue,19,5.44,True,0,0,314,350,0.897,3323.78
Singapore Airlines,DXB,BKK,4900,4,Sat,0,3.27,False,0,0,211,350,0.605,2545.67
Emirates,DXB,SIN,5900,11,Sun,21,6.48,False,0,0,315,350,0.902,3334.65
Emirates,DXB,FRA,4800,4,Thu,19,4.82,False,0,0,217,350,0.622,2564.63
Singapore Airlines,DXB,BOM,1900,3,Sat,3,4.95,False,0,0,173,350,0.496,1910.71
Etihad,DXB,JFK,11000,7,Sat,17,3.76,True,0,0,350,350,1.0,4554.0
Emirates,DXB,BOM,1900,5,Tue,18,7.86,False,0,0,234,350,0.669,2199.41
Qatar Airways,DXB,BKK,4900,2,Mon,19,6.7,False,0,0,246,350,0.704,2744.94
British Airways,DXB,FRA,4800,12,Fri,1,5.17,True,0,0,324,350,0.926,3178.08
Turkish Airlines,DXB,SYD,12000,10,Wed,4,7.09,False,0,0,175,350,0.503,3319.66
Etihad,DXB,SIN,5900,2,Fri,22,6.24,False,0,0,267,350,0.764,3037.17
Etihad,DXB,SIN,5900,4,Sun,12,6.73,False,0,0,256,350,0.734,2972.9
Qatar Airways,DXB,FRA,4800,9,Thu,4,4.32,False,0,0,234,350,0.669,2658.6
Emirates,DXB,SIN,5900,5,Sun,12,4.46,False,0,0,246,350,0.704,2908.46
Etihad,DXB,CDG,5200,12,Sat,4,4.05,True,0,0,350,350,1.0,3405.6
Emirates,DXB,FRA,4800,8,Thu,8,3.48,False,1,31,230,350,0.658,2636.95
Qatar Airways,DXB,SIN,5900,9,Fri,10,6.51,False,0,0,221,350,0.632,2754.74
Etihad,DXB,LHR,5500,3,Wed,13,8.09,False,0,0,265,350,0.758,2956.52
Qatar Airways,DXB,BOM,1900,11,Mon,7,4.42,False,0,0,271,350,0.776,2377.96
Qatar Airways,DXB,SYD,12000,10,Fri,18,8.03,False,0,0,278,350,0.796,4163.7
